iter	Passed	Remaining
476	634	695
477	635	693
478	636	692
479	637	690
480	638	688
481	639	687
482	640	685
483	641	683
484	642	681
485	643	680
486	643	678
487	644	676
488	645	674
489	646	673
490	647	671
491	648	669
492	649	667
493	650	666
494	651	664
495	652	663
496	653	661
497	654	659
498	655	658
499	656	656
500	657	654
501	658	652
502	658	651
503	659	649
504	660	647
505	661	645
506	662	644
507	663	642
508	664	640
509	665	639
510	666	637
511	667	635
512	668	634
513	669	632
514	670	630
515	670	629
516	671	627
517	672	626
518	673	624
519	674	622
520	675	621
521	676	619
522	677	617
523	678	616
524	679	614
525	680	613
526	681	611
527	682	610
528	683	608
529	684	606
530	685	605
531	686	603
532	687	602
533	688	600
534	688	598
535	689	597
536	690	595
537	691	593
538	692	592
539	693	590
540	694	589
541	695	587
542	696	586
543	697	584
544	698	583
545	699	581
546	700	579
547	701	578
548	702	576
549	703	575
550	704	573
551	704	572
552	705	570
553	706	568
554	707	567
555	709	566
556	710	565
557	711	563
558	712	562
559	713	560
560	714	559
561	715	557
562	716	556
563	717	554
564	718	553
565	719	551
566	720	549
567	721	548
568	722	547
569	723	545
570	724	544
571	725	542
572	726	541
573	727	539
574	727	538
575	728	536
576	729	535
577	730	533
578	731	531
579	732	530
580	733	528
581	734	527
582	735	525
583	736	524
584	737	523
585	738	521
586	739	520
587	740	518
588	741	517
589	742	515
590	743	514
591	744	512
592	745	511
593	745	509
594	746	508
595	747	506
596	748	505
597	749	503
598	750	502
599	751	500
600	752	499
601	753	498
602	754	496
603	755	495
604	756	493
605	757	492
606	758	490
607	758	489
608	759	487
609	760	486
610	761	484
611	762	483
612	763	482
613	764	480
614	765	479
615	766	477
616	767	476
617	768	475
618	769	473
619	770	472
620	771	470
621	772	469
622	773	468
623	774	466
624	775	465
625	776	463
626	777	462
627	778	460
628	778	459
629	779	458
630	780	456
631	781	455
632	782	453
633	783	452
634	784	450
635	785	449
636	786	448
637	787	446
638	788	445
639	788	443
640	789	442
641	790	440
642	791	439
643	792	438
644	793	436
645	794	435
646	795	433
647	796	432
648	797	431
649	798	430
650	799	428
651	800	427
652	801	426
653	802	424
654	803	423
655	804	421
656	805	420
657	806	419
658	807	417
659	808	416
660	808	414
661	809	413
662	810	412
663	811	410
664	812	409
665	813	408
666	814	406
667	815	405
668	816	404
669	817	402
670	818	401
671	819	399
672	820	398
673	821	397
674	822	396
675	823	394
676	824	393
677	825	391
678	826	390
679	827	389
680	828	388
681	829	386
682	830	385
683	831	384
684	832	382
685	833	381
686	834	380
687	835	378
688	836	377
689	837	376
690	838	374
691	839	373
692	840	372
693	841	370
694	842	369
695	843	368
696	844	366
697	845	365
698	846	364
699	846	362
700	847	361
701	848	360
702	849	358
703	850	357
704	851	356
705	852	354
706	853	353
707	854	352
708	855	350
709	855	349
710	856	348
711	858	347
712	859	345
713	859	344
714	860	343
715	861	341
716	862	340
717	863	339
718	864	337
719	865	336
720	865	335
721	866	333
722	867	332
723	868	331
724	869	329
725	870	328
726	871	327
727	872	326
728	873	324
729	874	323
730	875	322
731	876	320
732	877	319
733	878	318
734	879	317
735	880	315
736	881	314
737	882	313
738	883	311
739	884	310
740	884	309
741	886	308
742	887	306
743	888	305
744	889	304
745	890	303
746	891	301
747	892	300
748	893	299
749	893	297
750	894	296
751	895	295
752	896	294
753	897	292
754	898	291
755	899	290
756	900	289
757	901	287
758	902	286
759	903	285
760	904	284
761	905	282
762	906	281
763	907	280
764	908	278
765	909	277
766	909	276
767	910	275
768	911	273
769	912	272
770	913	271
771	914	270
772	915	268
773	916	267
774	917	266
775	918	265
776	919	263
777	919	262
778	920	261
779	921	259
780	922	258
781	923	257
782	924	256
783	925	254
784	926	253
785	927	252
786	928	251
787	928	249
788	929	248
789	930	247
790	931	246
791	932	244
792	933	243
793	934	242
794	935	241
795	936	239
796	937	238
797	938	237
798	938	236
799	939	234
800	940	233
801	941	232
802	942	231
803	943	230
804	944	228
805	945	227
806	947	226
807	948	225
808	949	224
809	950	222
810	950	221
811	951	220
812	952	219
813	953	217
814	954	216
815	955	215
816	956	214
817	957	213
818	959	211
819	960	210
820	962	209
821	963	208
822	965	207
823	966	206
824	967	205
825	968	204
826	969	202
827	970	201
828	971	200
829	973	199
830	975	198
831	976	197
832	977	195
833	978	194
834	979	193
835	980	192
836	981	191
837	982	189
838	983	188
839	984	187
840	985	186
841	986	185
842	987	183
843	989	182
844	990	181
845	991	180
846	992	179
847	993	178
848	994	176
849	996	175
850	997	174
851	998	173
852	999	172
853	1000	171
854	1001	169
855	1002	168
856	1005	167
857	1007	166
858	1008	165
859	1009	164
860	1010	163
861	1011	161
862	1012	160
863	1014	159
864	1015	158
865	1016	157
866	1017	156
867	1018	154
868	1020	153
869	1021	152
870	1022	151
871	1023	150
872	1024	149
873	1025	147
874	1026	146
875	1027	145
876	1028	144
877	1029	143
878	1030	141
879	1031	140
880	1031	139
881	1033	138
882	1034	137
883	1035	135
884	1036	134
885	1037	133
886	1038	132
887	1039	131
888	1040	129
889	1041	128
890	1042	127
891	1043	126
892	1044	125
893	1045	123
894	1046	122
895	1047	121
896	1048	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1053	114
902	1054	113
903	1055	112
904	1056	110
905	1057	109
906	1058	108
907	1059	107
908	1060	106
909	1061	104
910	1062	103
911	1064	102
912	1065	101
913	1066	100
914	1067	99
915	1068	97
916	1069	96
917	1070	95
918	1071	94
919	1072	93
920	1073	92
921	1074	90
922	1074	89
923	1075	88
924	1076	87
925	1078	86
926	1078	84
927	1079	83
928	1080	82
929	1081	81
930	1082	80
931	1083	79
932	1084	77
933	1086	76
934	1087	75
935	1087	74
936	1088	73
937	1089	72
938	1091	70
939	1092	69
940	1094	68
941	1095	67
942	1096	66
943	1097	65
944	1098	63
945	1099	62
946	1100	61
947	1101	60
948	1102	59
949	1103	58
950	1104	56
951	1105	55
952	1106	54
953	1107	53
954	1108	52
955	1109	51
956	1110	49
957	1111	48
958	1112	47
959	1113	46
960	1113	45
961	1114	44
962	1115	42
963	1116	41
964	1117	40
965	1119	39
966	1120	38
967	1121	37
968	1122	35
969	1123	34
970	1124	33
971	1125	32
972	1126	31
973	1127	30
974	1128	28
975	1129	27
976	1130	26
977	1130	25
978	1131	24
979	1132	23
980	1133	21
981	1135	20
982	1136	19
983	1137	18
984	1138	17
985	1139	16
986	1140	15
987	1141	13
988	1142	12
989	1143	11
990	1144	10
991	1145	9
992	1146	8
993	1147	6
994	1148	5
995	1149	4
996	1150	3
997	1151	2
998	1152	1
999	1153	0
